name,department,title_1,title_2,title_3,title_4,title_5,website,biography,headshot,faculty_page,areas_of_expertise_1,areas_of_expertise_2,areas_of_expertise_3,areas_of_expertise_4,areas_of_expertise_5,areas_of_expertise_6,areas_of_expertise_7,areas_of_expertise_8,areas_of_expertise_9,areas_of_expertise_10,areas_of_expertise_11,areas_of_expertise_12,areas_of_expertise_13,areas_of_expertise_14,areas_of_expertise_15,areas_of_expertise_16,areas_of_expertise_17
Anissa Abi-Dargham,Psychiatry,"Professor, Vice Chair of Research",Psychiatry,School of Medicine,,,,"Anissa Abi-Dargham is an expert in areas of molecular imaging, pharmacology, schizophrenia and addiction. Dr. Abi-Dargham employs the use of Positron Emission Tomography (PET) imaging to study the neurobiology of schizophrenia and mental illnesses. Her research has resulted in seminal findings describing the complex alterations of dopamine transmission in schizophrenia and their relationship to clinical symptoms, cognition and response to treatment. She is a member of the National Academy of Medicine.  Read bio",https://www.stonybrook.edu/far-beyond/faculty-directory/images/161103_Abi-Dargham-Anissa_049.jpg,https://www.stonybrook.edu/experts/profile/anissa-abi-dargham,schizophrenia,addiction,molecular imagery,pharmacology,,,,,,,,,,,,,
James Bernasko,"Department of Obstetrics, Gynecology and Reproductive Endocrinology","Obstetrician-Gynecologist; Director, Regional Perinatal Center; Director, Stony Brook Prenatal Diagnosis and Therapy Center; Clinical Associate Professor, Maternal-Fetal Medicine",Department of Obstetrics,Gynecology and Reproductive Endocrinology,School of Medicine,,,"Dr. Bernasko’s specialties are high-risk pregnancies, diabetes in pregnancy, multiple pregnancies, preterm birth, and medical complications in pregnancy.",https://www.stonybrook.edu/faculty-directory/images/bernasko_0.jpg,https://www.stonybrook.edu/experts/profile/james-bernasko,amniocentesis,high-risk obstetrics,perinatology,pre-eclampsia,prenatal care,prenatal diagnosis,,,,,,,,,,,
Thomas V. Bilfinger,Cardiothoracic Surgery,"Thoracic Surgeon, Professor of Surgery Director, Thoracic Surgery, Co-Director, Aortic Center, Team Leader and Co-Director, Lung Cancer Evaluation Center",Cardiothoracic Surgery,School of Medicine,,,http://medicine.stonybrookmedicine.edu/surgery/people/faculty/dr-thomas-v-bilfinger,"Thomas Bilfinger’s practice encompasses both heart and lung surgery. He provides consultation and surgical care for adult patients with advanced forms of heart disease, and also for adults with a range of benign and malignant pulmonary diseases. His practice involves new, minimally invasive procedures, including thoracic aortic stenting for aneurysms and radiofrequency, and cryoablation for lung tumors.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/BilfingerThomas.jpg,https://www.stonybrook.edu/experts/profile/thomas-bilfinger,lung cancer,bypass surgery,cardiac surgery,aortic aneurysms,aortic surgery,,,,,,,,,,,,
Michael Bender,Computer Science,Professor,Computer Science,College of Engineering and Applied Sciences,,,http://www.cs.stonybrook.edu/people/faculty/MichaelBender,"Michael Bender’s research interests span the areas of data structures and algorithms, I/O-efficient computing, scheduling, databases, and parallel computing. He was Founder and Chief Scientist at an enterprise database company (Tokutek) which was acquired in 2015.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/C-_Users_kguillou_Pictures_Computer-Science_Michael-bender_2.jpg,https://www.stonybrook.edu/experts/profile/michael-bender,data structures,algorithms,big data,I/o efficient algorithms,database updates,technology,speed of data,storage systems,,,,,,,,,
Christy Beneri,Pediatric Infectious Diseases,"Assistant Professor; Fellowship Director, Pediatric Infectious Diseases",Pediatric Infectious Diseases,School of Medicine,,,,"Christy Beneri specializes in pediatric lyme and tick-borne illnesses, tuberculosis, vaccine development and pediatric transplant. Her research interests include antimicrobial stewardship and standardized protocol development.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/BeneriChristy.jpg,https://www.stonybrook.edu/experts/profile/Christy-Beneri,lyme disease,tick-borne illness,tuberculosis,vaccine development,pediatric transplant,chronic diseases,HIV,Immunizations,cystic fibrosis,,,,,,,,
Julia Bear,Management,Assistant Professor,Management,College of Business,,,,"Julia Bear's research focuses on the influence of gender on negotiation outcomes, as well as conflict management and work-life issues in organizations.  In her research, she investigates what factors influence the gender gap typically seen in negotiation outcomes, and how an understanding of these factors can help to reduce the gender gaps seen in organizations.    Read bio",https://www.stonybrook.edu/far-beyond/faculty-directory/images/Bear.jpg,https://www.stonybrook.edu/experts/profile/bear-julia,gender,negotiations,wage gap,work-life,,,,,,,,,,,,,
Matthew Barish,Radiology,"Radiologist, Vice-Chair of Radiology Informatics, Associate Professor of Radiology, Division Co-Chief of Abdominal Imaging, Director of Magnetic Resonance Imaging",Radiology,School of Medicine,,,http://www.stonybrookmedicine.edu/patientcare/radiology/faculty/matthew-barish,"Matthew Barish’s areas of major research include virtual colonoscopy, 3D imaging, tumor metric core, MR imaging of the bile ducts, MR cholangiopancreatography of the biliary ducts, MR of the pancreatic duct and abdominal imaging, predictors of prostate carcinoma, accuracy of gray-scale and color doppler US and serum markers. His clinical responsibilities include interpretation of plain films, fluoroscopy, computer tomography (CT), magnetic resonance imaging (MRI), positron emission tomography (PET/CT), virtual colonoscopy, ultrasound (US), and emergency radiology.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/BarishMatthew.jpg,https://www.stonybrook.edu/experts/profile/matthew-barish,abdominal imaging,mri,colon cancer screening,virtual colonoscopy,magnetic resonance cholangiopancreatography,liver,pancreas,radiology informatics,oncology,quantitative tumor imaging,3d imaging,,,,,,
Ahmed Belazi,Division of Student Affairs,Director of Planning and Staff Development,Division of Student Affairs,,,,,"Ahmed Belazi advises the Vice President for Student Affairs on strategy and long-term planning and leads the Division of Student Affairs' assessment activities fostering a culture of evidence in practice. Additionally, he provides vision, design, and coordination towards the enhancement of the workforce productivity, improvement of staff morale, and professional development.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/ahmedbalazi.jpg,https://www.stonybrook.edu/experts/profile/ahmed-Belazi,survey research,assessment,strategic planning,organizational performance management,professional development,,,,,,,,,,,,
Marina D Azzimonti Renzo,Economics,Associate Professor,Economics,College of Arts and Sciences,,,https://www.stonybrook.edu/commcms/economics/people/bios/AZZIMONTI.html,"Marina Azzimonti is an expert in measuring the effects of the increasing partisan conflict in on the U.S. economy. Research she conducted shows this increased partisan conflict discourages investments by households and firms. Based on this research, she developed the “Partisan Conflict Index,” which tracks the degree of political disagreement among U.S. politicians, and is now issued monthly by the Philadelphia Federal Reserve.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/AzzimontiMarina.JPG,https://www.stonybrook.edu/experts/profile/marina-azzimonti,political economy,partisan politics and the economy,political disagreement,politics,,,,,,,,,,,,,
Michelle S Ballan,Family Population and Preventive Medicine,Professor,Family Population and Preventive Medicine,School of Social Welfare,,,,"Michelle Ballan’s practice and research aims to ameliorate barriers impacting services and treatment for individuals with intellectual and developmental disabilities. Her scholarly work addresses two main foci for women with disabilities: intimate partner violence and reproductive justice.  She is a mentor for human rights disability advocates and her international disability work is in Vietnam. In 2015, she received the Mid-Career Exemplary Social Work Leader Award from the National Association of Social Workers, New York City Chapter.   Read bio",https://www.stonybrook.edu/far-beyond/faculty-directory/images/Michelle%20Ballan%20headshot.jpg,https://www.stonybrook.edu/experts/profile/michelle-ballan,disabilities,domestic violence,sexual health,reproductive health,bioethics,autism,,,,,,,,,,,
Michael Barnhart,History,Distinguished Teaching Professor,History,College of Arts and Sciences,,,,"Michael Barnhart is an expert in  history of American foreign relations and politics, AmericanEast Asian relations, and modern Japanese history.  His works include  Japan Prepares for Total War ,  Japan and the World Since 1868 , and numerous articles, book chapters and book reviews. He is currently working on a two-volume survey of a political history of American foreign policy tentatively titled,  E Pluribus . Read bio",https://www.stonybrook.edu/far-beyond/faculty-directory/images/michaelbarnhart.jpg,https://www.stonybrook.edu/experts/profile/michael-barnhart,World War II,WWII,US Foreign Policy,US-Japan relations,,,,,,,,,,,,,
Saïd Amir Arjomand,"Sociology, Director of the Institute for Global Studies","Distinguished Service Professor,",Sociology,Director of the Institute for Global Studies,College of Arts and Sciences,,https://www.stonybrook.edu/commcms/sociology/people/faculty/arjomand.html,"Saïd Amir Arjomand is a renowned Middle East expert and scholar whose fields of study include Islamic Rule of Law, the Arab Revolution of 2011, Egypt and Iran.  He focuses on the integration of social theory and regional studies. Read bio",https://www.stonybrook.edu/far-beyond/faculty-directory/images/82988.jpg,https://www.stonybrook.edu/experts/profile/said-amir-arjomand,Islam,Egypt,Iran,Middle East,,,,,,,,,,,,,
Jonathan Anzalone,Center for News Literacy,"Professor/Assistant Director of the Center for News Literacy, Assistant Undergraduate Director for the School of Journalism",Center for News Literacy,School of Journalism,,,http://journalism.cc.stonybrook.edu/?p=9652,"Jonathan Anzalone’s expertise is in news literacy, writing, and history. He’s presented his research at conferences hosted by the American Historical Association (AHA), the Boston Environmental History Seminar, the American Society for Environmental History (ASEH), the Yale University Working Group on Global Environmental History, and the New York State Historical Association (NYSHA). He is currently working on a book based on his dissertation: “Creating a Modern Wilderness Playground: The Transformation of the Adirondack State Park, 1920 - 1980"" which will be published by the University of Massachusetts Press.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/jonathan_anzalone-1-199x300.jpg,https://www.stonybrook.edu/experts/profile/jonathan-anzalone,news literacy,history,American history,history of medicine,writing,rhetoric,bioethics,medical humanities,professional development,environmental history,,,,,,,
Jennifer L. Anderson,History,Associate Professor,History,,,,,"Jennifer L. Anderson's research focuses on the environmental and cultural history of the Caribbean and the greater Atlantic World in the 17th -19th centuries. Her book Mahogany: The Costs of Luxury in Early America (Harvard Univ Press, 2012) examines the colonial trade in tropical timbers from the Caribbean to North America. Her new work explores New York's early Caribbean connections. She also examines how Long Island became a venue where Native peoples, European settlers, and enslaved Africans encountered each other during the colonial period. Drawing on her background as a museum curator, exhibition developer, and researcher, Jennifer serves as advisor to many historical and cultural organizations.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/JenniferAnderson.JPG,https://www.stonybrook.edu/experts/profile/jennifer-anderson,Caribbean,Early American History,Long Island History,New York History,Race,Atlantic world,colonialism,labor,slavery,Hurricane Irma,,,,,,,
Joan Alpers,Child Life,"Director, Child Life Services",Child Life,,,,,"Joan Alpers specializes in child life and art therapy. She has more than 30 years of experience in making children’s hospital visits more comfortable, anxiety-free and, in many cases, fun. By incorporating medical play, which lets children use real or toy medical equipment, Joan helps prepare children for their medical treatment. She is a former president of Child Life of Greater NY.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/AlpersJoan.JPG,https://www.stonybrook.edu/experts/profile/Joan-Alpers,Pediatrics,Child Life,Child Development,Medical Play,Art Therapy,,,,,,,,,,,,
Bassem Allam,School of Marine and Atmospheric Sciences,Marinetics Endowed Professor,School of Marine and Atmospheric Sciences,,,,http://www.somas.stonybrook.edu/people/faculty/bassem-allam/,"Bassem Allam’s research is centered on interactions between marine mollusks and waterborne microorganisms in general and, in particular, the framework of host-pathogen interactions. He also studies the mechanisms of resistance to pathogens and diseases, and the effect of environmental factors on these interactions. His research also includes a strong applied component aimed at enhancing knowledge and development of mitigation strategies for diseases affecting local shellfish species.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/Bassem%20Allam.jpg,https://www.stonybrook.edu/experts/profile/bassem-allam,shellfish diseases,quahog parasite,marine mollusks and diseases,environmental factors,,,,,,,,,,,,,
Eric S. Zolov,History,Associate Professor,History,College of Arts and Sciences,,,https://www.stonybrook.edu/commcms/history/people/faculty/zolov.html,"Eric Zolov is a specialist in Latin American history, with research interests focused on the interplay between culture, politics, and international relations in twentieth-century Latin America, with a particular emphasis on the Cold War period. His research seeks to make connections between ideological articulations, consumptive practices, and broadly defined notions of power. He is co-editor of a documentary collection on US-Latin America relations, and has a particular expertise in Mexico, the subject of his next book.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/ZolovEric.jpg,https://www.stonybrook.edu/experts/profile/eric-zolov,Latin America,Latin American history,Mexico,Cuba,U.S. and Cuba relations,Cold War,,,,,,,,,,,
Gregory Zelinsky,Psychology,Professor,Psychology,College of Arts and Sciences,,,,"Gregory Zelinsky's work attempts to integrate cognitive, computational, and neuroimaging techniques to better understand a broad range of visual cognitive behaviors, including search, object representation, working memory, and scene perception. He has extensive experience studying how people move their eyes as they search for familiar targets, such a favorite coffee mug, in addition to targets defined by only a category of object, such as a chair. He has built computer models describing both of these search behaviors.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/ZelinskyGregory.jpg,https://www.stonybrook.edu/experts/profile/gregory-zelinsky,neroimaging,cognitive science,cognitive behaviors,visual search behaviors,eye movement,object representation,,,,,,,,,,,
Vincent Yang,Gastroenterology,"Chair of Department of Medicine, President of Stony Brook Internists, Professor of Medicine, Physiology and Biophysics",Gastroenterology,School of Medicine,,,,"Vincent Yang is an internationally renowned physician scientist with a focus on the understanding and treatment of gastrointestinal malignancies. He is also a pioneer in the cloning and characterization of Krüppel-like factors (KLFs), a group of proteins with important physiologic functions. One of the KLFs that Dr. Yang's group identified, KLF4, has gained significant attention due to its ability to convert somatic cells to induced pleuripotenti stem cells (iPSC) with remarkable therapeutic potential.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/YangVincent.jpg,https://www.stonybrook.edu/experts/profile/vincent-yang,gastroesophageal reflux disease,cancer genetics,colon cancer screening,crohn's disease,diarrhea (chronic),diarrhea disease,familial colon cancer,gastrointestinal cancers,gastrointestinal oncology,general gastroenterology,inflammatory bowel disease,ulcerative colitis,,,,,
Kevin Zacharoff,Preventative Medicine,Clinical Professor,Preventative Medicine,School of Medicine,,,,"Dr. Kevin Zacharoff is a chronic pain expert.  He is a member of the Anesthetic and Analgesic Drug Products Advisory Committee for the Food and Drug Administration, a Board Certified Anesthesiologist with more than 30 years of clinical practice experience in Anesthesiology and Pain medicine, Dr. Zacharoff  is the co-author of ""The PainEDU.org Manual : A Pocket Guide to Pain Management and Managing Chronic Pain with Opioids in Primary Care.""",https://www.stonybrook.edu/far-beyond/faculty-directory/images/kevin-zacharoff.jpeg,https://www.stonybrook.edu/experts/profile/kevin-zacharoff,chronic pain,pain management,anesthesiology,pain medicine,,,,,,,,,,,,,
Karina Anne Yager,Sustainability Studies Program,Visiting Assistant Professor,Sustainability Studies Program,School of Marine and Atmospheric Sciences,,,https://www.stonybrook.edu/commcms/sustainability/faculty/Yagerbio.html,"Concurrently a researcher for NASA, Karina Yager's research focuses on the impacts of climate change in mountain environments. She applies interdisciplinary methods to her research, including remote sensing of land cover and land-use change and the socio-ecological study of high-altitude vegetation, mountain peatland systems and indigenous pastoral communities. Her current research project, funded by NASA-ROSES, is focused on the impact of disappearing tropical glaciers on pastoral agriculture in the Andes of South America.  Read bio",https://www.stonybrook.edu/far-beyond/faculty-directory/images/YagerKarina.jpg,https://www.stonybrook.edu/experts/profile/karina-yager,climate change,mountain environments,alpine peatlands,Andean culture and ecology,tropical glaciers,climate change impacts,pastoralists,glacier monitoring,remote sensing,land cover land use change,,,,,,,
William Worek,Mechanical Engineering,Associate Professor of Research and Graduate Studies,Mechanical Engineering,College of Engineering and Applied Sciences,,,,William Worek’s research interests are in the aspects of heat and mass transfer processes as they apply energy systems in commercial and industrial applications. He has investigated liquid absorption processes in both open- and closed-cycle systems and methods to enhance heat transport in refrigeration systems. He also has worked on design and operational strategies to realize net zero energy buildings in northern climates.,https://www.stonybrook.edu/far-beyond/faculty-directory/images/WorekWilliam.jpg,https://www.stonybrook.edu/experts/profile/william-worek,heating,refrigerating and air conditioning,energy systems,,,,,,,,,,,,,,
Patricia C. Wright,Anthropology,Distinguished Service Professor,Anthropology,College of Arts and Sciences,,,https://www.stonybrook.edu/commcms/centre-valbio/people/patwright.html,"Patricia C. Wright founded Centre ValBio, a modern research campus in the rainforest of Madagascar where she has combined her research with efforts to preserve the country’s endangered forests and the many species of plants and animals they harbor. She was the driving force behind the creation of Ranomafana National Park, a 106,000-acre World Heritage Site there, which is home to many endangered species, including several species of lemur that she almost certainly saved from extinction.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/WrightPatricia-.jpg,https://www.stonybrook.edu/experts/profile/patricia-wright,Madagascar,rainforest conservation,lemurs,Madagascar endangered species,,,,,,,,,,,,,
Stanislaus S. Wong,Chemistry,Professor,Chemistry,College of Arts and Sciences,,,http://www.chem.stonybrook.edu/faculty/wong.shtml,"Stanislaus Wong’s research is primarily focused on developing sustainable strategies for producing novel classes of nanomaterials, possessing unique opto-electronic, catalytic, and magnetic properties.  These nanoscale structures consist of “tunable” building blocks measuring 1 to 1000 nanometers (i.e. millionths of a millimeter). His goal is to broaden the impact and applicability of nanostructures in areas as diverse as electronics and medicine, with a special emphasis on energy-related devices, such as solar cells, fuel cells, and batteries.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/Professor.jpg,https://www.stonybrook.edu/experts/profile/stanislaus-wong,nanomaterials,nanostructures,chemical synthesis,catalysis,nanomedicine,opto-electronics,devices,nanotubes,nanoparticles,nanowires,,,,,,,
Joseph D. Warren,School of Marine and Atmospheric Sciences,Associate Professor,School of Marine and Atmospheric Sciences,,,,http://www.msrc.sunysb.edu/~warren/,"Joseph Warren’s research involves the use of underwater acoustics, a non-invasive way to measure and study a variety of oceanographic processes.  One focus of his research is the foraging behavior of apex predators such as marine mammals and other ocean predators. A current area of study is the increase in nearshore humpback and other whale sightings along the coast of New York after decades of only rare whale sightings. He believes these increased sightings could be due to an increase in large aggregations of Atlantic menhaden (a prey fish also called bunker) that occur in the area and the fact that humpback whale populations appear to be increasing due to protection laws.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/WarrenJoseph.jpeg,https://www.stonybrook.edu/experts/profile/joseph-warren,underwater acoustics,humpback and baleen whales,predator-prey interactions,east coast whale sightings,antarctic krill populations,,,,,,,,,,,,
Lianxing Wen,Department of Geosciences,Professor,Department of Geosciences,College of Arts and Sciences,,,,"Lianxing Wen  is a seismologist (studies earthquakes), geodynamicist and planetary scientist. His research is directed toward understanding the structure, dynamics, composition and evolution of the Earth and other planets. Lianxing’s work has fundamentally changed our understanding of the structure and dynamical processes of the Earth's mantle, outer core and inner core, and the boundaries between them.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/Wen_Lianxing.jpg,https://www.stonybrook.edu/experts/profile/lianxing-wen,Earthquakes,Earth’s interior,Seismic Waves,Geophysics,,,,,,,,,,,,,
Ya Wang,Mechanical Engineering,Assistant Professor,Mechanical Engineering,College of Engineering and Applied Sciences,,,,"Ya Wang’s research interests span a broad range of topics in the fields of adaptive and multifunctional structures with integrated wireless sensing, energy harvesting and dynamic control using smart materials.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/WangYa.jpeg,https://www.stonybrook.edu/experts/profile/ya-wang,energy harvesting,air conditioning,smart materials,vibration control,integrated sensing,,,,,,,,,,,,
Wayne Waltzer,Urology,"Urologist/Kidney Transplantation; Professor and Chairman, Department of Urology; Director of the Renal Transplant Service",Urology,School of Medicine,,,,"Dr. Waltzer was a member of the original team that performed the first kidney transplant on Long Island. He has expertise in oncology, including prostate, kidney, and bladder cancer, as well as kidney transplantation.",https://www.stonybrook.edu/faculty-directory/images/WaltzerWayne.jpg,https://www.stonybrook.edu/experts/profile/wayne-waltzer,adrenal gland diseases,cancer of the bladder,kidney,penis,prostate,testicle,cryosurgery prostate and kidney,PSA,urologic oncology,,,,,,,,
James Vosswinkel,Trauma,"Chief of Trauma, Emergency Surgery and Surgical Critical Care; Assistant Professor of Surgery; Medical Director, Surgical Intensive Care Unit (SICU)",Trauma,School of Medicine,,,,"Dr. Vosswinkel’s specialties include surgical management of injured patients (all aspects of traumatology); management of diseases of the gastrointestinal and endocrine systems; treatment of soft tissue disease; repair of hernias, including incisional/ventral, inguinal, umbilical, and other types; appendectomy; cholecystectomy; conventional and minimally invasive laparoscopic surgery; and pre- and post-operative critical care of adult surgical patients.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/dr-james-vosswinkel.jpg,https://www.stonybrook.edu/experts/profile/james-vosswinkel,trauma,abdominal pain,anti-reflux surgery,appendicitis,colon surgery,colon/rectal surgery,gallbladder disease,gallstones,gastrointestinal surgery,GI surgery,hernia repairs,laparoscopic surgery,surgical critical care,fireworks injuries,severe cold injuries,,
Harold W Walker,Civil Engineering,Professor and Chair,Civil Engineering,College of Engineering and Applied Sciences,,,https://www.stonybrook.edu/commcms/civileng/people/faculty/walkerharold.html,"With a focus on understanding surface chemical processes in natural and engineered systems and an emphasis on clean water, Harold Walker’s research areas include predicting the fate and transport of manufactured nanomaterials  and other “emerging” contaminants in groundwater, lakes, oceans, and water treatment plants. His work also includes developing novel membrane treatment systems, determining the vulnerability of the public to cyanotoxins in finished drinking water, and understanding the environmental implications of energy extraction and electricity production.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/HWalker.jpg,https://www.stonybrook.edu/experts/profile/harold-walker,water pollution,algal bloom,water filtration systems,drinking water,fracking and water quality,nitrogen crisis,water technology,clean water technology,,,,,,,,,
Frederick M. Walter,Physics and Astronomy,Professor,Physics and Astronomy,College of Arts and Sciences,,,http://www.ess.sunysb.edu/fwalter/plan.html,"Frederick Walter is a galactic astronomer. His research interests include novae, neutron stars, Solar and stellar activity (flares and coronal mass ejections, and their effects on the Earth), and the formation of sun-like and low mass stars, brown dwarfs, and exoplanets. He has been consulted about Mars and Pluto. He observes regularly, using observatories in Chile and Arizona, and is a guest investigator on the Hubble Space Telescope and the Chandra and XMM-Newton X-ray observatories.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/WalterFrederick.jpg,https://www.stonybrook.edu/experts/profile/frederick-walter,solar eclipse,galactic novae,neutron stars,the sun and its planets,star and planet formation,life in the universe,pluto,space,,,,,,,,,
Arnout van de Rijt,Sociology,Associate Professor,Sociology,College of Arts and Sciences,,,http://www.researchgate.net/profile/Arnout_Rijt,"Arnout van de Rijt's work exploits novel data collection opportunities enabled by present-day communication technology to answer longstanding questions about the origins of social order and societal inequality. His research topics include online social networks, crowd-funding, immigrant assimilation, online petitioning, peer collaboration on Wikipedia, fame, PED use in sports, residential segregation and intimate relationships.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/VanDeRijtArnout.jpg,https://www.stonybrook.edu/experts/profile/arnout-vanderijt,social networks,collective action,cumulative advantage,,,,,,,,,,,,,,
John True,Ecology and Evolution,Associate Professor,Ecology and Evolution,College of Arts and Sciences,,,http://life.bio.sunysb.edu/ee/truelab/True_Lab.html,"John True studies developmental and evolutionary genetics and works with Drosophila fruit flies to study the developmental genetics of adaptation and speciation (the process by which new species are formed). He is an expert in the genetics and development of insect pigmentation and has published over 30 papers in the areas of the genetics of new species formation and species differences in pigmentation, behavior, and morphology. This work helps establish the role of gene regulatory diversity in the origin and diversity of visible traits among species.",https://www.stonybrook.edu/faculty-directory/images/John_True.jpg,https://www.stonybrook.edu/experts/profile/john-true,evolution,evolutionary genetics,speciation,Drosophila,developmental genetics,insect pigmentation,genetics and diversity,,,,,,,,,,
Katheryn C. Twiss,Anthropology,Associate Professor,Anthropology,College of Arts and Sciences,,,https://www.stonybrook.edu/commcms/anthropology/faculty-and-staff/ktwiss.php,"Katheryn Twiss’ research focuses on social and economic practices in early agricultural societies. She uses faunal remains to study past human-animal interactions. Her research involves issues such as the origins of domestication, the cultural implications of different animal management strategies, and the integration of wild and domestic resources. She is also interested in the archaeology of food by concentrating on the social aspects of food production and use. She is currently conducting research and is the Co-Director of the faunal analysis laboratory at the Neolithic site of Çatalhöyük in Turkey.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/TwissKatheryn.jpg,https://www.stonybrook.edu/experts/profile/katheryn-twiss,archeology,environmental archaeology,prehistoric archaeology,archaeology of food,prehistory,zooarchaeology,taphonomy,,,,,,,,,,
Nancy Tomes,History,Distinguished Professor,History,College of Arts and Sciences,,,https://www.stonybrook.edu/commcms/history/people/faculty/tomes.html,"Nancy Tomes is an American historian with a focus on the intersection between expert knowledge and popular understandings of the body and disease. She’s the award-winning author of four books, including The Gospel of Germs: Men, Women and the Microbe in American life, (1998) about the popularization of the germ theory of disease, and Remaking the American Patient which was awarded the prestigious Bancroft Prize in 2017, which examines an in depth research in the popular yet largely unexamined concept origin of patients “shopping” for health care. She’s also developed “Medicine and Madison Avenue”, a website in collaboration with Duke University Library’s Special Collections, which explores the complex history of health related advertising. Her current research focus is on the history of psychiatry, the impact of the Internet on doctor-patient interactions, and a comparative look at the medical consumerism in other countries.",https://www.stonybrook.edu/far-beyond/faculty-directory/images/nancy%20tomes.PNG,https://www.stonybrook.edu/experts/profile/nancy-tomes,Healthcare,patients and doctors,medical consumerism,American medicine and health,history of medicine,history of public health,mental health,women,gender,health and advertising,,,,,,,
